District,Total Cases,State / Territory,Antitrust,Bankruptcy,Civil Rights,Consumer Protection,Contracts,Copyright,Employment,Environmental,ERISA,False Claims,Insurance,Patent,Product Liability,Securities,Surety Bond,Tax,Torts,Trademark,Trade Secret
D.S.C.,"5,561",South Carolina,4,26,44,252,418,39,947,18,479,14,586,14,603,7,26,23,"1,084",83,42
D.S.D.,573,South Dakota,0,0,22,7,57,3,64,0,14,1,82,4,19,0,7,2,119,8,15
E.D.Tenn.,"2,240",Tennessee,1,14,222,135,167,24,430,2,81,5,153,12,98,7,14,10,365,39,20
M.D.Tenn.,"2,641",Tennessee,6,12,169,95,228,63,725,8,108,8,129,12,85,22,12,9,330,46,27
W.D.Tenn.,"2,224",Tennessee,7,16,228,92,127,22,597,3,54,4,190,11,58,4,4,7,380,23,13
E.D.Tex.,"5,501",Texas,11,42,223,664,332,136,536,7,57,15,579,"1,276",129,17,11,21,557,115,44
N.D.Tex.,"10,172",Texas,9,238,404,"1,053",795,242,"1,194",6,128,23,"1,179",221,662,72,26,50,"1,127",202,99
S.D.Tex.,"13,383",Texas,15,215,757,887,980,216,"1,696",17,268,28,"2,016",172,310,50,54,65,"2,395",219,147
W.D.Tex.,"10,281",Texas,9,134,421,860,609,324,"1,265",15,79,21,865,"2,592",203,46,57,21,"1,116",186,85
D.Utah,"2,775",Utah,5,24,114,180,372,52,306,12,341,11,242,57,65,41,14,20,168,167,57
D.Vt.,600,Vermont,4,6,49,16,43,2,46,0,14,1,22,1,18,2,1,5,78,5,3
D.V.I.,779,Virgin Islands,3,3,5,6,43,1,30,5,0,2,33,0,10,0,4,3,439,3,0
E.D.Va.,"5,946",Virginia,9,137,172,631,568,365,998,7,165,37,171,135,97,22,68,35,553,196,87
W.D.Va.,"1,317",Virginia,1,17,59,69,127,9,224,4,34,6,50,7,52,1,14,8,219,15,21
N.D.W.Va.,768,"Virginia, West Virginia",0,28,34,47,83,3,86,5,11,2,60,17,34,1,2,1,141,6,1
S.D.W.Va.,"1,191","Virginia, West Virginia",0,11,75,47,96,4,163,13,57,0,83,1,41,6,3,2,276,2,2
E.D.Wash.,801,Washington,3,14,46,38,69,11,104,19,18,8,90,7,40,2,6,6,80,25,10
W.D.Wash.,"5,631",Washington,20,36,238,336,347,108,505,66,440,14,803,129,140,36,29,22,454,191,55
E.D.Wis.,"2,514",Wisconsin,5,25,94,462,154,24,543,8,145,7,94,25,77,15,2,18,122,35,16
W.D.Wis.,"1,426",Wisconsin,1,10,64,278,104,32,153,8,115,2,54,33,56,4,1,14,94,46,11
D.Wyo.,599,Wyoming,2,17,20,9,82,6,48,9,8,3,31,15,9,4,11,1,184,12,14
