law360_firm_id,law360_firm_name,Lawfirm,LawFirmId,AggregatedDealvalue,DealCount,dupe_MA,qualify_MA,notes_MA,combine_MA
PAU8288,Paul Weiss,"Paul, Weiss, Rifkind, Wharton & Garrison",2880,"$400,946,936,376.00",99,,,,
SIM9580,Simpson Thacher,Simpson Thacher & Bartlett,2894,"$357,561,531,218.00",110,,,,
SUL2314,Sullivan & Cromwell,Sullivan & Cromwell,2900,"$339,023,937,917.00",103,,,,
DAV2937,Davis Polk,Davis Polk & Wardwell,2815,"$313,434,801,991.00",97,,,,
CRA6235,Cravath,"Cravath, Swaine & Moore",2813,"$241,558,487,831.00",55,,,,
WEI2027,Weil,"Weil, Gotshal & Manges",2911,"$237,170,437,303.00",93,,,,
ROP8711,Ropes & Gray,Ropes & Gray,2196,"$181,299,120,318.00",72,,,,
GOO1738,Goodwin,Goodwin Procter,2837,"$177,486,295,259.00",122,,,,
SHE2026,Shearman,Shearman & Sterling,2889,"$169,141,451,106.00",46,,,,
CLE6909,Cleary,Cleary Gottlieb Steen & Hamilton,2809,"$163,364,648,150.00",39,,,,
JON3485,Jones Day,Jones Day,2850,"$155,160,811,737.00",78,,,,
COO1982,Cooley,Cooley,9248,"$148,769,855,323.00",126,,,,
LIN8596,,Linklaters,5317,"$140,162,051,750.00",16,,,,
DLA8531,DLA Piper,DLA Piper,2821,"$121,379,732,398.00",125,,,,
COV3180,Covington,Covington & Burling,2812,"$119,938,389,976.00",46,,,,
ARN6021,Arnold & Porter,Arnold & Porter Kaye Scholer,2798,"$118,268,300,000.00",18,,,,
SLA5211,,Slaughter and May,4607,"$116,375,042,500.00",13,,,,
FRE1113,,Freshfields Bruckhaus Deringer,2831,"$113,513,948,212.00",30,,,,
WHI8202,White & Case,White & Case,2912,"$103,208,259,850.00",57,,,,
HOG2532,Hogan Lovells,Hogan Lovells,2844,"$103,148,971,224.00",72,,,,
SID2808,Sidley,Sidley Austin,2352,"$101,557,554,705.00",97,,,,
WIL9164,Wilson Sonsini,Wilson Sonsini Goodrich & Rosati,2918,"$98,743,904,973.00",92,,,,
DEB3000,Debevoise,Debevoise & Plimpton,2817,"$97,356,996,199.00",38,,,,
,,McCann Fitzgerald Solicitors,4258,"$96,360,000,000.00",3,,,,
BAK1239,Baker McKenzie,Baker McKenzie,7783,"$94,794,551,455.00",28,,,,
POT1196,,Potter Anderson & Corroon,4443,"$94,540,000,000.00",8,,,,
VIN6290,Vinson & Elkins,Vinson & Elkins,2907,"$85,910,257,730.00",88,,,,
WIL6949,WilmerHale,Wilmer Cutler Pickering Hale and Dorr,2714,"$83,003,825,580.00",36,,,,
GIB4549,Gibson Dunn,"Gibson, Dunn & Crutcher",2835,"$82,262,707,789.00",105,,,,
RIC1321,Richards Layton,"Richards, Layton & Finger",7180,"$75,487,960,000.00",16,,,,
WIL9392,Willkie,Willkie Farr & Gallagher,2916,"$75,037,053,832.00",53,,,,
STI9829,,Stikeman Elliott,2455,"$74,612,347,975.00",44,,,,
HUG9259,Hughes Hubbard,Hughes Hubbard & Reed,1267,"$71,746,500,000.00",17,,,,
,,Arthur Cox,3353,"$70,782,000,000.00",6,,,,
BAK9080,Baker Botts,Baker Botts,2800,"$66,512,910,710.00",44,,,,
,,Nishimura & Asahi,4357,"$66,200,000,000.00",3,,,,
,,Nagashima Ohno & Tsunematsu,4336,"$65,056,106,509.00",4,,,,
,,Mourant,8195,"$63,250,000,000.00",2,,,,
NOR7957,Norton Rose Fulbright,Norton Rose Fulbright,5811,"$62,894,020,825.00",43,,,,
FRI3491,Fried Frank,"Fried, Frank, Harris, Shriver & Jacobson",2832,"$57,147,900,000.00",29,,,,
CLI3554,Clifford Chance,Clifford Chance,7179,"$56,777,743,441.00",19,,,,
PIL4685,Pillsbury,Pillsbury Winthrop Shaw Pittman,2881,"$56,234,100,000.00",36,,,,
MOR8926,Morgan Lewis,"Morgan, Lewis & Bockius",6731,"$55,322,553,212.00",64,,,,
GRE1872,Greenberg Traurig,Greenberg Traurig,1105,"$52,170,892,735.00",66,,,,
MAB2454,Mayer Brown,Mayer Brown,5477,"$51,678,226,224.00",54,,,,
BLA9488,,"Blake, Cassels & Graydon",9242,"$51,011,663,276.00",39,,,,
FEN1041,Fenwick,Fenwick & West,2829,"$50,827,272,272.00",53,,,,
,,Eubelius,6280,"$50,500,000,000.00",1,,,,
AKI5112,Akin Gump,Akin Gump Strauss Hauer & Feld,5703,"$47,649,336,581.00",29,,,,
MIL6748,Milbank,Milbank,2864,"$43,274,495,750.00",29,,,,
PAU7660,Paul Hastings,Paul Hastings,9251,"$43,193,495,236.00",48,,,,
WIN8608,Winston & Strawn,Winston & Strawn,2728,"$38,949,600,000.00",63,,,,
,,NautaDutilh,1872,"$38,689,918,100.00",6,,,,
ALL2087,,Allen & Overy,42,"$38,363,316,813.00",19,,,,
,,Davies Ward Phillips & Vineberg,675,"$37,793,975,580.00",10,,,,
